n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
11,3,3,2,3,0,3,5,5,6,5,2,0.72,0.48,29,19,ga2_chemical_1_tower_adam_wfn_4,4,_wfn,adam,chemical_1_tower
7,6,5,2,1,3,4,3,5,4,4,3,0.92,0.47,27,20,ga2_chemical_1_tower_adam_win_4,4,_win,adam,chemical_1_tower
11,3,3,2,3,0,3,5,5,6,5,2,0.72,0.48,29,19,ga2_chemical_1_tower_adam_wfn_bfn_4,4,_wfn_bfn,adam,chemical_1_tower
7,6,5,2,1,3,4,3,5,4,4,3,0.92,0.47,27,20,ga2_chemical_1_tower_adam_win_bfn_4,4,_win_bfn,adam,chemical_1_tower
11,3,3,2,3,0,3,5,5,6,5,2,0.72,0.48,29,19,ga2_chemical_1_tower_adam_wfn_bin_4,4,_wfn_bin,adam,chemical_1_tower
7,6,5,2,1,3,4,3,5,4,4,3,0.92,0.47,27,20,ga2_chemical_1_tower_adam_win_bin_4,4,_win_bin,adam,chemical_1_tower
3,8,6,2,2,6,2,4,3,5,2,2,0.92,0.45,26,19,ga2_chemical_1_tower_gaussian_wfn_4,4,_wfn,gaussian,chemical_1_tower
3,4,3,3,5,2,4,0,3,6,7,3,0.8,0.43,30,13,ga2_chemical_1_tower_gaussian_win_4,4,_win,gaussian,chemical_1_tower
3,8,6,2,2,6,2,4,3,5,2,2,0.92,0.45,26,19,ga2_chemical_1_tower_gaussian_wfn_bfn_4,4,_wfn_bfn,gaussian,chemical_1_tower
3,4,3,3,5,2,4,0,3,6,7,3,0.8,0.43,30,13,ga2_chemical_1_tower_gaussian_win_bfn_4,4,_win_bfn,gaussian,chemical_1_tower
3,8,6,2,2,6,2,4,3,5,2,2,0.92,0.45,26,19,ga2_chemical_1_tower_gaussian_wfn_bin_4,4,_wfn_bin,gaussian,chemical_1_tower
3,4,3,3,5,2,4,0,3,6,7,3,0.8,0.43,30,13,ga2_chemical_1_tower_gaussian_win_bin_4,4,_win_bin,gaussian,chemical_1_tower
7,7,5,3,3,4,3,2,4,3,4,6,0.88,0.51,29,22,ga2_chemical_1_tower_gaussian_4,4,,gaussian,chemical_1_tower
7,7,3,5,4,1,3,5,2,3,4,4,1.0,0.48,26,22,ga2_chemical_1_tower_adam_wfn_5,5,_wfn,adam,chemical_1_tower
4,10,3,1,2,4,4,4,3,5,2,7,0.8,0.49,31,18,ga2_chemical_1_tower_adam_win_5,5,_win,adam,chemical_1_tower
7,7,3,5,4,1,3,5,2,3,4,4,1.0,0.48,26,22,ga2_chemical_1_tower_adam_wfn_bfn_5,5,_wfn_bfn,adam,chemical_1_tower
4,10,3,1,2,4,4,4,3,5,2,7,0.8,0.49,31,18,ga2_chemical_1_tower_adam_win_bfn_5,5,_win_bfn,adam,chemical_1_tower
7,7,3,5,4,1,3,5,2,3,4,4,1.0,0.48,26,22,ga2_chemical_1_tower_adam_wfn_bin_5,5,_wfn_bin,adam,chemical_1_tower
4,10,3,1,2,4,4,4,3,5,2,7,0.8,0.49,31,18,ga2_chemical_1_tower_adam_win_bin_5,5,_win_bin,adam,chemical_1_tower
3,6,4,3,4,1,6,3,2,1,4,5,1.0,0.42,26,16,ga2_chemical_1_tower_gaussian_wfn_5,5,_wfn,gaussian,chemical_1_tower
7,7,5,6,4,1,4,5,1,2,4,4,0.88,0.5,25,25,ga2_chemical_1_tower_gaussian_win_5,5,_win,gaussian,chemical_1_tower
3,6,4,3,4,1,6,3,2,1,4,5,1.0,0.42,26,16,ga2_chemical_1_tower_gaussian_wfn_bfn_5,5,_wfn_bfn,gaussian,chemical_1_tower
7,7,5,6,4,1,4,5,1,2,4,4,0.88,0.5,25,25,ga2_chemical_1_tower_gaussian_win_bfn_5,5,_win_bfn,gaussian,chemical_1_tower
3,6,4,3,4,1,6,3,2,1,4,5,1.0,0.42,26,16,ga2_chemical_1_tower_gaussian_wfn_bin_5,5,_wfn_bin,gaussian,chemical_1_tower
7,7,5,6,4,1,4,5,1,2,4,4,0.88,0.5,25,25,ga2_chemical_1_tower_gaussian_win_bin_5,5,_win_bin,gaussian,chemical_1_tower
9,8,5,0,5,7,5,4,3,2,2,3,0.84,0.53,31,22,ga2_chemical_1_tower_gaussian_5,5,,gaussian,chemical_1_tower
5,5,6,6,5,5,2,4,1,5,3,3,0.76,0.5,28,22,ga2_chemical_1_tower_adam_wfn_6,6,_wfn,adam,chemical_1_tower
3,4,4,2,7,2,3,4,7,3,2,1,0.84,0.42,29,13,ga2_chemical_1_tower_adam_win_6,6,_win,adam,chemical_1_tower
5,5,6,6,5,5,2,4,1,5,3,3,0.76,0.5,28,22,ga2_chemical_1_tower_adam_wfn_bfn_6,6,_wfn_bfn,adam,chemical_1_tower
3,4,4,2,7,2,3,4,7,3,2,1,0.84,0.42,29,13,ga2_chemical_1_tower_adam_win_bfn_6,6,_win_bfn,adam,chemical_1_tower
5,5,6,6,5,5,2,4,1,5,3,3,0.76,0.5,28,22,ga2_chemical_1_tower_adam_wfn_bin_6,6,_wfn_bin,adam,chemical_1_tower
3,4,4,2,7,2,3,4,7,3,2,1,0.84,0.42,29,13,ga2_chemical_1_tower_adam_win_bin_6,6,_win_bin,adam,chemical_1_tower
3,6,5,3,4,6,7,3,3,1,0,2,0.72,0.43,26,17,ga2_chemical_1_tower_gaussian_wfn_6,6,_wfn,gaussian,chemical_1_tower
3,4,5,6,4,4,3,3,3,6,3,1,0.76,0.45,27,18,ga2_chemical_1_tower_gaussian_win_6,6,_win,gaussian,chemical_1_tower
3,6,5,3,4,6,7,3,3,1,0,2,0.72,0.43,26,17,ga2_chemical_1_tower_gaussian_wfn_bfn_6,6,_wfn_bfn,gaussian,chemical_1_tower
3,4,5,6,4,4,3,3,3,6,3,1,0.76,0.45,27,18,ga2_chemical_1_tower_gaussian_win_bfn_6,6,_win_bfn,gaussian,chemical_1_tower
3,6,5,3,4,6,7,3,3,1,0,2,0.72,0.43,26,17,ga2_chemical_1_tower_gaussian_wfn_bin_6,6,_wfn_bin,gaussian,chemical_1_tower
3,4,5,6,4,4,3,3,3,6,3,1,0.76,0.45,27,18,ga2_chemical_1_tower_gaussian_win_bin_6,6,_win_bin,gaussian,chemical_1_tower
7,7,5,3,6,5,3,1,3,3,3,2,0.8,0.48,26,22,ga2_chemical_1_tower_gaussian_6,6,,gaussian,chemical_1_tower
6,2,6,2,5,6,4,4,2,3,7,6,0.88,0.53,37,16,ga2_chemical_1_tower_adam_wfn_7,7,_wfn,adam,chemical_1_tower
7,2,3,5,8,3,6,7,3,0,4,1,0.88,0.49,32,17,ga2_chemical_1_tower_adam_win_7,7,_win,adam,chemical_1_tower
6,2,6,2,5,6,4,4,2,3,7,6,0.88,0.53,37,16,ga2_chemical_1_tower_adam_wfn_bfn_7,7,_wfn_bfn,adam,chemical_1_tower
7,2,3,5,8,3,6,7,3,0,4,1,0.88,0.49,32,17,ga2_chemical_1_tower_adam_win_bfn_7,7,_win_bfn,adam,chemical_1_tower
6,2,6,2,5,6,4,4,2,3,7,6,0.88,0.53,37,16,ga2_chemical_1_tower_adam_wfn_bin_7,7,_wfn_bin,adam,chemical_1_tower
7,2,3,5,8,3,6,7,3,0,4,1,0.88,0.49,32,17,ga2_chemical_1_tower_adam_win_bin_7,7,_win_bin,adam,chemical_1_tower
3,2,1,2,2,6,3,1,3,4,8,3,0.6,0.38,30,8,ga2_chemical_1_tower_gaussian_wfn_7,7,_wfn,gaussian,chemical_1_tower
5,6,1,1,6,1,5,5,4,2,8,3,0.8,0.47,34,13,ga2_chemical_1_tower_gaussian_win_7,7,_win,gaussian,chemical_1_tower
3,2,1,2,2,6,3,1,3,4,8,3,0.6,0.38,30,8,ga2_chemical_1_tower_gaussian_wfn_bfn_7,7,_wfn_bfn,gaussian,chemical_1_tower
5,6,1,1,6,1,5,5,4,2,8,3,0.8,0.47,34,13,ga2_chemical_1_tower_gaussian_win_bfn_7,7,_win_bfn,gaussian,chemical_1_tower
3,2,1,2,2,6,3,1,3,4,8,3,0.6,0.38,30,8,ga2_chemical_1_tower_gaussian_wfn_bin_7,7,_wfn_bin,gaussian,chemical_1_tower
5,6,1,1,6,1,5,5,4,2,8,3,0.8,0.47,34,13,ga2_chemical_1_tower_gaussian_win_bin_7,7,_win_bin,gaussian,chemical_1_tower
9,6,10,3,1,2,3,0,4,4,4,1,0.84,0.47,19,28,ga2_chemical_1_tower_gaussian_7,7,,gaussian,chemical_1_tower
8,5,5,1,0,5,4,4,4,4,5,4,0.76,0.49,30,19,ga2_chemical_1_tower_adam_wfn_8,8,_wfn,adam,chemical_1_tower
6,7,4,3,2,0,4,1,7,6,3,5,0.88,0.48,28,20,ga2_chemical_1_tower_adam_win_8,8,_win,adam,chemical_1_tower
8,5,5,1,0,5,4,4,4,4,5,4,0.76,0.49,30,19,ga2_chemical_1_tower_adam_wfn_bfn_8,8,_wfn_bfn,adam,chemical_1_tower
6,7,4,3,2,0,4,1,7,6,3,5,0.88,0.48,28,20,ga2_chemical_1_tower_adam_win_bfn_8,8,_win_bfn,adam,chemical_1_tower
8,5,5,1,0,5,4,4,4,4,5,4,0.76,0.49,30,19,ga2_chemical_1_tower_adam_wfn_bin_8,8,_wfn_bin,adam,chemical_1_tower
6,7,4,3,2,0,4,1,7,6,3,5,0.88,0.48,28,20,ga2_chemical_1_tower_adam_win_bin_8,8,_win_bin,adam,chemical_1_tower
5,3,3,2,5,7,4,4,7,3,2,2,0.84,0.47,34,13,ga2_chemical_1_tower_gaussian_wfn_8,8,_wfn,gaussian,chemical_1_tower
9,4,2,2,3,1,4,7,5,2,1,3,0.84,0.43,26,17,ga2_chemical_1_tower_gaussian_win_8,8,_win,gaussian,chemical_1_tower
5,3,3,2,5,7,4,4,7,3,2,2,0.84,0.47,34,13,ga2_chemical_1_tower_gaussian_wfn_bfn_8,8,_wfn_bfn,gaussian,chemical_1_tower
9,4,2,2,3,1,4,7,5,2,1,3,0.84,0.43,26,17,ga2_chemical_1_tower_gaussian_win_bfn_8,8,_win_bfn,gaussian,chemical_1_tower
5,3,3,2,5,7,4,4,7,3,2,2,0.84,0.47,34,13,ga2_chemical_1_tower_gaussian_wfn_bin_8,8,_wfn_bin,gaussian,chemical_1_tower
9,4,2,2,3,1,4,7,5,2,1,3,0.84,0.43,26,17,ga2_chemical_1_tower_gaussian_win_bin_8,8,_win_bin,gaussian,chemical_1_tower
3,6,3,2,4,3,2,2,7,7,7,3,0.8,0.49,35,14,ga2_chemical_1_tower_gaussian_8,8,,gaussian,chemical_1_tower
6,5,8,1,5,2,2,3,1,2,3,6,0.76,0.44,24,20,ga2_chemical_1_tower_adam_wfn_9,9,_wfn,adam,chemical_1_tower
3,4,9,5,2,4,2,4,4,2,3,1,0.84,0.43,22,21,ga2_chemical_1_tower_adam_win_9,9,_win,adam,chemical_1_tower
6,5,8,1,5,2,2,3,1,2,3,6,0.76,0.44,24,20,ga2_chemical_1_tower_adam_wfn_bfn_9,9,_wfn_bfn,adam,chemical_1_tower
3,4,9,5,2,4,2,4,4,2,3,1,0.84,0.43,22,21,ga2_chemical_1_tower_adam_win_bfn_9,9,_win_bfn,adam,chemical_1_tower
6,5,8,1,5,2,2,3,1,2,3,6,0.76,0.44,24,20,ga2_chemical_1_tower_adam_wfn_bin_9,9,_wfn_bin,adam,chemical_1_tower
3,4,9,5,2,4,2,4,4,2,3,1,0.84,0.43,22,21,ga2_chemical_1_tower_adam_win_bin_9,9,_win_bin,adam,chemical_1_tower
4,7,5,3,3,0,1,1,6,8,5,3,0.96,0.46,27,19,ga2_chemical_1_tower_gaussian_wfn_9,9,_wfn,gaussian,chemical_1_tower
6,6,2,3,3,3,7,2,5,3,6,4,0.84,0.5,33,17,ga2_chemical_1_tower_gaussian_win_9,9,_win,gaussian,chemical_1_tower
4,7,5,3,3,0,1,1,6,8,5,3,0.96,0.46,27,19,ga2_chemical_1_tower_gaussian_wfn_bfn_9,9,_wfn_bfn,gaussian,chemical_1_tower
6,6,2,3,3,3,7,2,5,3,6,4,0.84,0.5,33,17,ga2_chemical_1_tower_gaussian_win_bfn_9,9,_win_bfn,gaussian,chemical_1_tower
4,7,5,3,3,0,1,1,6,8,5,3,0.96,0.46,27,19,ga2_chemical_1_tower_gaussian_wfn_bin_9,9,_wfn_bin,gaussian,chemical_1_tower
6,6,2,3,3,3,7,2,5,3,6,4,0.84,0.5,33,17,ga2_chemical_1_tower_gaussian_win_bin_9,9,_win_bin,gaussian,chemical_1_tower
4,7,4,4,3,4,5,3,5,5,4,4,0.76,0.52,33,19,ga2_chemical_1_tower_gaussian_9,9,,gaussian,chemical_1_tower
4,5,7,5,1,2,5,2,4,7,3,4,0.92,0.49,28,21,ga2_chemical_1_tower_adam_wfn_10,10,_wfn,adam,chemical_1_tower
8,10,10,3,2,1,2,3,1,2,5,3,0.88,0.5,19,31,ga2_chemical_1_tower_adam_win_10,10,_win,adam,chemical_1_tower
4,5,7,5,1,2,5,2,4,7,3,4,0.92,0.49,28,21,ga2_chemical_1_tower_adam_wfn_bfn_10,10,_wfn_bfn,adam,chemical_1_tower
8,10,10,3,2,1,2,3,1,2,5,3,0.88,0.5,19,31,ga2_chemical_1_tower_adam_win_bfn_10,10,_win_bfn,adam,chemical_1_tower
4,5,7,5,1,2,5,2,4,7,3,4,0.92,0.49,28,21,ga2_chemical_1_tower_adam_wfn_bin_10,10,_wfn_bin,adam,chemical_1_tower
8,10,10,3,2,1,2,3,1,2,5,3,0.88,0.5,19,31,ga2_chemical_1_tower_adam_win_bin_10,10,_win_bin,adam,chemical_1_tower
5,4,7,3,2,2,4,2,5,3,4,5,0.88,0.46,27,19,ga2_chemical_1_tower_gaussian_wfn_10,10,_wfn,gaussian,chemical_1_tower
8,1,7,1,4,7,4,1,1,4,2,3,0.8,0.43,26,17,ga2_chemical_1_tower_gaussian_win_10,10,_win,gaussian,chemical_1_tower
5,4,7,3,2,2,4,2,5,3,4,5,0.88,0.46,27,19,ga2_chemical_1_tower_gaussian_wfn_bfn_10,10,_wfn_bfn,gaussian,chemical_1_tower
8,1,7,1,4,7,4,1,1,4,2,3,0.8,0.43,26,17,ga2_chemical_1_tower_gaussian_win_bfn_10,10,_win_bfn,gaussian,chemical_1_tower
5,4,7,3,2,2,4,2,5,3,4,5,0.88,0.46,27,19,ga2_chemical_1_tower_gaussian_wfn_bin_10,10,_wfn_bin,gaussian,chemical_1_tower
8,1,7,1,4,7,4,1,1,4,2,3,0.8,0.43,26,17,ga2_chemical_1_tower_gaussian_win_bin_10,10,_win_bin,gaussian,chemical_1_tower
6,5,3,4,4,3,3,4,4,3,3,2,0.72,0.44,26,18,ga2_chemical_1_tower_gaussian_10,10,,gaussian,chemical_1_tower
5,6,11,2,4,2,0,3,2,2,3,4,0.88,0.44,20,24,ga2_chemical_1_tower_adam_wfn_11,11,_wfn,adam,chemical_1_tower
7,6,5,3,3,2,8,4,6,1,4,3,0.84,0.52,31,21,ga2_chemical_1_tower_adam_win_11,11,_win,adam,chemical_1_tower
5,6,11,2,4,2,0,3,2,2,3,4,0.88,0.44,20,24,ga2_chemical_1_tower_adam_wfn_bfn_11,11,_wfn_bfn,adam,chemical_1_tower
7,6,5,3,3,2,8,4,6,1,4,3,0.84,0.52,31,21,ga2_chemical_1_tower_adam_win_bfn_11,11,_win_bfn,adam,chemical_1_tower
5,6,11,2,4,2,0,3,2,2,3,4,0.88,0.44,20,24,ga2_chemical_1_tower_adam_wfn_bin_11,11,_wfn_bin,adam,chemical_1_tower
