iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13
31,1.1920929e-07,5.61226224899292,1.007676,0.9999564,1.0557456,1.1020117,1.0059671,1.0691437,1.1104069,1.0038899,1.0874724,0.99680305,1.008877,1.102145,0.99716777,0.9999868
32,0.003034234,5.394149303436279,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
33,0.0030344129,5.52295446395874,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
34,0.0030344129,5.531555891036987,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
35,0.0030343533,5.530794143676758,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
36,0.0030344129,5.635138511657715,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
37,0.0030343533,5.750515937805176,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
38,0.0030344129,5.594397783279419,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
39,0.0030343533,5.5770018100738525,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
40,0.0030344129,5.459601163864136,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
41,0.0030344129,5.620801687240601,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
42,0.0030343533,5.511310577392578,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
43,0.0030344129,5.584871292114258,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
44,0.003034532,5.5473527908325195,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
45,0.0030343533,5.633216381072998,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
46,0.003034532,5.667239665985107,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
47,0.0030344129,5.622520446777344,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
48,0.0030346513,5.722506284713745,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
49,0.003034532,5.632169485092163,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
50,0.0030344129,5.407402753829956,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
51,0.0030344129,5.4202046394348145,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
52,0.0030344129,5.605835676193237,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
53,0.0030344129,5.672744989395142,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
54,0.003034532,5.607941389083862,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
55,0.0030344129,5.672532081604004,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
56,0.0030344129,5.532712697982788,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
57,0.003034532,5.575454473495483,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
58,0.0030344129,5.6563098430633545,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
59,0.0030343533,5.7780632972717285,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
60,0.0030344129,5.462362051010132,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
61,0.003034532,5.650664329528809,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
62,0.0030344129,5.553018093109131,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
63,0.0030344129,5.76434326171875,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
64,0.0030344129,5.663257122039795,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
65,0.003034532,5.608179330825806,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
66,0.0030344129,5.551050424575806,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
67,0.0030344129,5.6832616329193115,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
68,0.003034532,5.744558095932007,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
69,0.0030344129,5.662895679473877,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
70,0.003034532,5.540166854858398,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
71,0.0030343533,5.666615009307861,1.0087327,0.99568367,1.0305648,1.060179,1.0105507,1.0647949,1.0773358,0.98948455,1.1021974,1.0058837,1.005475,1.1090358,1.0023057,0.9821864
72,0.0039963126,5.709872007369995,1.0057975,1.004377,1.0316027,1.0717843,1.0072514,1.0642375,1.0837884,0.9631047,1.0931174,1.0127662,0.99969405,1.133744,1.0088896,0.9835766
73,0.0047058463,5.698186635971069,1.0034918,1.00331,1.0361857,1.0791382,1.0071269,1.0622107,1.0898417,0.96563363,1.0897176,1.0112865,0.99718785,1.1374255,1.006786,0.98495287
74,0.009742916,5.836261034011841,0.993304,1.0044655,1.0465095,1.1223544,1.0096704,1.0591286,1.1207422,0.98424935,1.0743027,0.9932356,1.0050821,1.1408919,1.0001686,0.9870552
75,0.010261536,5.624609708786011,0.9918652,1.0041144,1.0455835,1.118235,1.0081047,1.0595491,1.1187193,0.9827982,1.0740361,0.99241745,1.003537,1.1408921,0.99667615,0.98646206
76,0.0104647875,5.654021263122559,0.99242556,1.0038025,1.0392903,1.1083788,1.0058889,1.0622847,1.1095392,0.97970796,1.0775833,0.99286085,1.004842,1.134565,0.99539673,0.9850007
77,0.010592997,5.5349462032318115,0.99135417,1.0036545,1.0438257,1.1123971,1.0063231,1.0603849,1.1147519,0.9814546,1.0750066,0.99215573,1.0030903,1.1390545,0.9943123,0.9858098
78,0.010662794,5.963731527328491,0.99175096,1.0034587,1.040778,1.1073339,1.0051265,1.0617481,1.110007,0.98006207,1.0768911,0.9924144,1.0038563,1.1356792,0.99386877,0.98512506
79,0.010662794,5.746417284011841,0.99175096,1.0034587,1.040778,1.1073339,1.0051265,1.0617481,1.110007,0.98006207,1.0768911,0.9924144,1.0038563,1.1356792,0.99386877,0.98512506
80,0.010663211,5.822016716003418,0.9918018,1.0034391,1.04045,1.1067866,1.0050008,1.0619011,1.1094911,0.9799186,1.077102,0.99244624,1.0039463,1.1353042,0.9938303,0.9850559
81,0.010663271,5.621911525726318,0.9918018,1.0034391,1.04045,1.1067866,1.0050008,1.0619011,1.1094911,0.9799186,1.077102,0.99244624,1.0039463,1.1353042,0.9938303,0.9850559
82,0.010663271,5.628934383392334,0.9918018,1.0034391,1.04045,1.1067866,1.0050008,1.0619011,1.1094911,0.9799186,1.077102,0.99244624,1.0039463,1.1353042,0.9938303,0.9850559
83,0.010663271,5.708893299102783,0.9918018,1.0034391,1.04045,1.1067866,1.0050008,1.0619011,1.1094911,0.9799186,1.077102,0.99244624,1.0039463,1.1353042,0.9938303,0.9850559
84,0.010665059,5.6966166496276855,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
85,0.010665238,5.778351545333862,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
86,0.010665119,5.819445848464966,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
87,0.010665238,5.596620559692383,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
88,0.010665119,5.628997087478638,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
89,0.01066494,5.791720151901245,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
90,0.010665059,5.754394769668579,0.9918419,1.0034136,1.0401685,1.1062495,1.004869,1.0620348,1.1090108,0.97979337,1.0772922,0.9924708,1.0040175,1.1349654,0.9937712,0.98499316
91,0.010665119,5.708356857299805,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
92,0.0106652975,5.845542907714844,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
93,0.010665119,5.630077838897705,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
94,0.010665119,5.795498371124268,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
95,0.010665238,5.843055009841919,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
96,0.010665119,5.624238729476929,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
97,0.010665119,5.5929646492004395,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
98,0.0106652975,5.776491641998291,0.99178,1.0034393,1.0405658,1.1069298,1.0050268,1.0618482,1.1096461,0.9799666,1.0770333,0.99243236,1.0039088,1.135426,0.99382263,0.985077
99,0.010666013,5.647883892059326,0.9918173,1.0034199,1.0403142,1.1064758,1.0049183,1.0619668,1.1092312,0.97985554,1.0771999,0.9924555,1.0039748,1.1351296,0.9937802,0.9850223
100,0.010666311,12.678752422332764,0.991726,1.003452,1.0408897,1.1074173,1.0051322,1.0616989,1.1101267,0.9801057,1.0768316,0.99239844,1.0038141,1.1357847,0.99383837,0.98514223
101,0.010666192,5.87577223777771,0.9918173,1.0034199,1.0403142,1.1064758,1.0049183,1.0619668,1.1092312,0.97985554,1.0771999,0.9924555,1.0039748,1.1351296,0.9937802,0.9850223
102,0.010666192,5.821243047714233,0.991726,1.003452,1.0408897,1.1074173,1.0051322,1.0616989,1.1101267,0.9801057,1.0768316,0.99239844,1.0038141,1.1357847,0.99383837,0.98514223
103,0.010666192,5.519675016403198,0.991726,1.003452,1.0408897,1.1074173,1.0051322,1.0616989,1.1101267,0.9801057,1.0768316,0.99239844,1.0038141,1.1357847,0.99383837,0.98514223
104,0.010703206,5.563987970352173,0.99172556,1.0032386,1.0404614,1.1053462,1.0044738,1.0619204,1.108695,0.97987413,1.0772977,0.99238974,1.0038133,1.1349533,0.99326694,0.98496157
105,0.010703504,5.615677118301392,0.99172556,1.0032386,1.0404614,1.1053462,1.0044738,1.0619204,1.108695,0.97987413,1.0772977,0.99238974,1.0038133,1.1349533,0.99326694,0.98496157
