iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
45,-0.10111022,9.427747964859009,1.5772396,1.2798958,1.2460344,1.069842,1.2314144,1.314725,1.2750716,1.37689,1.5787597,1.2394912,1.2375839,0.99513674,1.1999892,1.2966172,1.2366803,1.3684086
46,-0.082684994,9.357950448989868,1.5764899,1.2810478,1.245421,1.0705831,1.229462,1.3141142,1.2742918,1.3765316,1.5755237,1.23841,1.2354585,0.9947,1.1994517,1.2974854,1.236958,1.3698994
47,-0.05496955,9.364694118499756,1.5719548,1.2770146,1.2440637,1.0688716,1.2306229,1.3142956,1.2750875,1.3768486,1.5771523,1.2387303,1.2372768,0.994455,1.1999174,1.2972298,1.2375966,1.3707141
48,-0.07012451,9.502892017364502,1.5768414,1.2802563,1.2440058,1.069604,1.2313514,1.3143697,1.2747376,1.3756057,1.5778781,1.2394792,1.2356313,0.99243355,1.2015334,1.2986987,1.2354779,1.3683798
49,-0.067771435,9.370060920715332,1.5784056,1.282163,1.2470164,1.0710675,1.2313689,1.3147892,1.2750655,1.3767164,1.5771616,1.2389913,1.2359833,0.99423903,1.2020478,1.2996273,1.2377862,1.3710926
50,-0.10335302,9.325976133346558,1.5787613,1.2823279,1.247355,1.0710704,1.2311466,1.3145902,1.2750793,1.3767779,1.5794103,1.2406629,1.2380925,0.99529433,1.2014,1.2972875,1.2368504,1.3701172
51,-0.036476254,9.094902992248535,1.5719697,1.2771605,1.242284,1.0688891,1.2294611,1.3135273,1.2741493,1.3747903,1.5732373,1.2356803,1.2334144,0.9915488,1.2014415,1.2984648,1.238226,1.3713093
52,-0.050930023,9.216625213623047,1.5788465,1.2826467,1.2472591,1.071023,1.231375,1.3148148,1.2750393,1.3768902,1.579418,1.2406716,1.2379597,0.9949979,1.201161,1.2986141,1.2382137,1.37058
53,-0.11086786,9.079257726669312,1.5776101,1.2821565,1.2462693,1.0709275,1.2311609,1.3143486,1.2727774,1.3761137,1.5786146,1.2405815,1.238087,0.99531853,1.2013949,1.2998574,1.2378495,1.3698533
54,-0.05735576,12.138046741485596,1.5764523,1.2801371,1.2445967,1.0697646,1.2313936,1.3147248,1.2749697,1.3761442,1.5784483,1.2399274,1.2365798,0.99497926,1.2016468,1.2985754,1.2370814,1.3693708
55,-0.07574594,9.23607587814331,1.5771277,1.2795249,1.246499,1.070812,1.2313563,1.3146094,1.2750874,1.3769248,1.5780765,1.2385232,1.2372677,0.9943798,1.2012855,1.2983176,1.2378172,1.3703613
